================================================================================
        MFGH Solver Calculation Log
================================================================================
Calculation Time: 2026-01-09 11:35:16

--- Input & Derived Parameters ---
MU                            : 49902.0048124958
HBAR                          : 1.0
N_POINTS_FINAL (Internal)     : 1024
R_MIN_USER_DEFINED            : 2.0
R_MAX_USER_DEFINED            : 400.0
E_MAX (for mapping)           : 0.00022693392727697473
V_min                         : -0.0011346696426874296
De_approx                     : 0.0011346696416370036

--- Key Results ---
Approx. Dissociation Energy (De) : 0.001135
Total Number of Bound States     : 33

--- Full Eigenvalue Spectrum ---
Level (v)       Energy                    State Type
------------------------------------------------------------
0               -0.00109365               Bound
1               -0.00101483               Bound
2               -0.00094073               Bound
3               -0.00086931               Bound
4               -0.00080067               Bound
5               -0.00073489               Bound
6               -0.00067188               Bound
7               -0.00061160               Bound
8               -0.00055412               Bound
9               -0.00049947               Bound
10              -0.00044765               Bound
11              -0.00039867               Bound
12              -0.00035257               Bound
13              -0.00030940               Bound
14              -0.00026918               Bound
15              -0.00023192               Bound
16              -0.00019765               Bound
17              -0.00016639               Bound
18              -0.00013814               Bound
19              -0.00011286               Bound
20              -0.00009057               Bound
21              -0.00007119               Bound
22              -0.00005466               Bound
23              -0.00004087               Bound
24              -0.00002965               Bound
25              -0.00002081               Bound
26              -0.00001402               Bound
27              -0.00000887               Bound
28              -0.00000509               Bound
29              -0.00000252               Bound
30              -0.00000098               Bound
31              -0.00000024               Bound
32              -0.00000001               Bound
33              0.00000000                Unbound (Continuum)
34              0.00000000                Unbound (Continuum)
35              0.00000001                Unbound (Continuum)
36              0.00000002                Unbound (Continuum)
37              0.00000002                Unbound (Continuum)
38              0.00000003                Unbound (Continuum)
39              0.00000004                Unbound (Continuum)
40              0.00000006                Unbound (Continuum)
41              0.00000007                Unbound (Continuum)
42              0.00000009                Unbound (Continuum)
43              0.00000010                Unbound (Continuum)
44              0.00000013                Unbound (Continuum)
45              0.00000014                Unbound (Continuum)
46              0.00000017                Unbound (Continuum)
47              0.00000019                Unbound (Continuum)
48              0.00000022                Unbound (Continuum)
49              0.00000024                Unbound (Continuum)
50              0.00000028                Unbound (Continuum)
51              0.00000030                Unbound (Continuum)
52              0.00000034                Unbound (Continuum)
53              0.00000036                Unbound (Continuum)
54              0.00000041                Unbound (Continuum)
55              0.00000043                Unbound (Continuum)
56              0.00000048                Unbound (Continuum)
57              0.00000051                Unbound (Continuum)
58              0.00000056                Unbound (Continuum)
59              0.00000059                Unbound (Continuum)
60              0.00000065                Unbound (Continuum)
61              0.00000067                Unbound (Continuum)
62              0.00000074                Unbound (Continuum)
63              0.00000077                Unbound (Continuum)
64              0.00000084                Unbound (Continuum)
65              0.00000086                Unbound (Continuum)
66              0.00000094                Unbound (Continuum)
67              0.00000097                Unbound (Continuum)
68              0.00000105                Unbound (Continuum)
69              0.00000108                Unbound (Continuum)
70              0.00000116                Unbound (Continuum)
71              0.00000119                Unbound (Continuum)
72              0.00000128                Unbound (Continuum)
73              0.00000132                Unbound (Continuum)
74              0.00000141                Unbound (Continuum)
75              0.00000144                Unbound (Continuum)
76              0.00000154                Unbound (Continuum)
77              0.00000158                Unbound (Continuum)
